GAME_PK,GAME_DATE,GAME_DATETIME,GAME_TYPE,STATUS,STATUS_CODE,IS_FINAL,IS_LIVE,HOME_TEAM_ID,HOME_TEAM,AWAY_TEAM_ID,AWAY_TEAM,HOME_SCORE,AWAY_SCORE,HOME_PROBABLE_PITCHER,AWAY_PROBABLE_PITCHER,HOME_PROBABLE_PITCHER_ID,AWAY_PROBABLE_PITCHER_ID,VENUE,DOUBLEHEADER,GAME_NUMBER,SEASON
634615,2021-04-01,2021-04-01T20:10:00+00:00,R,Final,F,True,False,115,Colorado Rockies,119,Los Angeles Dodgers,8,5,Germán Márquez,Clayton Kershaw,608566.0,477132.0,Coors Field,N,1,2021
634618,2021-04-01,2021-04-01T20:10:00+00:00,R,Final,F,True,False,135,San Diego Padres,109,Arizona Diamondbacks,8,7,Yu Darvish,Madison Bumgarner,506433.0,518516.0,Petco Park,N,1,2021
634622,2021-04-01,2021-04-01T19:05:00+00:00,R,Final,F,True,False,143,Philadelphia Phillies,144,Atlanta Braves,3,2,Aaron Nola,Max Fried,605400.0,608331.0,Citizens Bank Park,N,1,2021
634625,2021-04-01,2021-04-02T02:10:00+00:00,R,Final,F,True,False,136,Seattle Mariners,137,San Francisco Giants,8,7,Marco Gonzales,Kevin Gausman,594835.0,592332.0,T-Mobile Park,N,1,2021
634630,2021-04-01,2021-04-01T20:10:00+00:00,R,Final,F,True,False,118,Kansas City Royals,140,Texas Rangers,14,10,Brad Keller,Kyle Gibson,641745.0,502043.0,Kauffman Stadium,N,1,2021
634634,2021-04-01,2021-04-01T18:20:00+00:00,R,Final,F,True,False,112,Chicago Cubs,134,Pittsburgh Pirates,3,5,Kyle Hendricks,Chad Kuhl,543294.0,641771.0,Wrigley Field,N,1,2021
634636,2021-04-01,2021-04-01T20:10:00+00:00,R,Final,F,True,False,113,Cincinnati Reds,138,St. Louis Cardinals,6,11,Luis Castillo,Jack Flaherty,622491.0,656427.0,Great American Ball Park,N,1,2021
634638,2021-04-01,2021-04-01T18:10:00+00:00,R,Final,F,True,False,158,Milwaukee Brewers,142,Minnesota Twins,6,5,Brandon Woodruff,Kenta Maeda,605540.0,628317.0,American Family Field,N,1,2021
634640,2021-04-01,2021-04-02T02:07:00+00:00,R,Final,F,True,False,133,Oakland Athletics,117,Houston Astros,1,8,Chris Bassitt,Zack Greinke,605135.0,425844.0,Oakland Coliseum,N,1,2021
634642,2021-04-01,2021-04-01T17:05:00+00:00,R,Final,F,True,False,147,New York Yankees,141,Toronto Blue Jays,2,3,Gerrit Cole,Hyun Jin Ryu,543037.0,547943.0,Yankee Stadium,N,1,2021
634645,2021-04-01,2021-04-01T17:10:00+00:00,R,Final,F,True,False,116,Detroit Tigers,114,Cleveland Indians,3,2,Matthew Boyd,Shane Bieber,571510.0,669456.0,Comerica Park,N,1,2021
634652,2021-04-01,2021-04-01T20:10:00+00:00,R,Final,F,True,False,146,Miami Marlins,139,Tampa Bay Rays,0,1,Sandy Alcantara,Tyler Glasnow,645261.0,607192.0,loanDepot park,N,1,2021
634655,2021-04-01,2021-04-02T02:05:00+00:00,R,Final,F,True,False,108,Los Angeles Angels,145,Chicago White Sox,4,3,Dylan Bundy,Lucas Giolito,605164.0,608337.0,Angel Stadium,N,1,2021
634576,2021-04-02,2021-04-03T02:10:00+00:00,R,Final,F,True,False,135,San Diego Padres,109,Arizona Diamondbacks,4,2,Blake Snell,Merrill Kelly,605483.0,518876.0,Petco Park,N,1,2021
634578,2021-04-02,2021-04-03T02:10:00+00:00,R,Final,F,True,False,136,Seattle Mariners,137,San Francisco Giants,3,6,Yusei Kikuchi,Johnny Cueto,579328.0,456501.0,T-Mobile Park,N,1,2021
634602,2021-04-02,2021-04-02T23:10:00+00:00,R,Final,F,True,False,146,Miami Marlins,139,Tampa Bay Rays,4,6,Pablo López,Ryan Yarbrough,641154.0,642232.0,loanDepot park,N,1,2021
634605,2021-04-02,2021-04-03T01:40:00+00:00,R,Final,F,True,False,133,Oakland Athletics,117,Houston Astros,5,9,Jesús Luzardo,Cristian Javier,666200.0,664299.0,Oakland Coliseum,N,1,2021
634627,2021-04-02,2021-04-02T18:10:00+00:00,R,Final,F,True,False,111,Boston Red Sox,110,Baltimore Orioles,0,3,Nathan Eovaldi,John Means,543135.0,607644.0,Fenway Park,N,1,2021
634631,2021-04-02,2021-04-03T01:38:00+00:00,R,Final,F,True,False,108,Los Angeles Angels,145,Chicago White Sox,8,12,Andrew Heaney,Dallas Keuchel,571760.0,572971.0,Angel Stadium,N,1,2021
634653,2021-04-02,2021-04-03T00:40:00+00:00,R,Final,F,True,False,115,Colorado Rockies,119,Los Angeles Dodgers,6,11,Antonio Senzatela,Trevor Bauer,622608.0,545333.0,Coors Field,N,1,2021
634573,2021-04-03,2021-04-03T17:10:00+00:00,R,Final,F,True,False,116,Detroit Tigers,114,Cleveland Indians,5,2,Julio Teheran,Zach Plesac,527054.0,668676.0,Comerica Park,N,1,2021
634575,2021-04-03,2021-04-03T23:10:00+00:00,R,Final,F,True,False,158,Milwaukee Brewers,142,Minnesota Twins,0,2,Corbin Burnes,José Berríos,669203.0,621244.0,American Family Field,N,1,2021
634577,2021-04-03,2021-04-03T17:10:00+00:00,R,Final,F,True,False,111,Boston Red Sox,110,Baltimore Orioles,2,4,Tanner Houck,Matt Harvey,656557.0,518774.0,Fenway Park,N,1,2021
634580,2021-04-03,2021-04-03T20:05:00+00:00,R,Final,F,True,False,143,Philadelphia Phillies,144,Atlanta Braves,4,0,Zack Wheeler,Charlie Morton,554430.0,450203.0,Citizens Bank Park,N,1,2021
634596,2021-04-03,2021-04-03T22:10:00+00:00,R,Final,F,True,False,146,Miami Marlins,139,Tampa Bay Rays,12,7,Elieser Hernández,Rich Hill,622694.0,448179.0,loanDepot park,N,1,2021
634604,2021-04-03,2021-04-03T18:10:00+00:00,R,Final,F,True,False,118,Kansas City Royals,140,Texas Rangers,11,4,Mike Minor,Kohei Arihara,501985.0,685503.0,Kauffman Stadium,N,1,2021
634623,2021-04-03,2021-04-04T00:40:00+00:00,R,Final,F,True,False,135,San Diego Padres,109,Arizona Diamondbacks,7,0,Joe Musgrove,Caleb Smith,605397.0,592761.0,Petco Park,N,1,2021
634629,2021-04-03,2021-04-03T20:07:00+00:00,R,Final,F,True,False,133,Oakland Athletics,117,Houston Astros,1,9,Cole Irvin,Lance McCullers Jr.,608344.0,621121.0,Oakland Coliseum,N,1,2021
634633,2021-04-03,2021-04-04T00:10:00+00:00,R,Final,F,True,False,115,Colorado Rockies,119,Los Angeles Dodgers,5,6,Jon Gray,Walker Buehler,592351.0,621111.0,Coors Field,N,1,2021
634639,2021-04-03,2021-04-04T01:10:00+00:00,R,Final,F,True,False,136,Seattle Mariners,137,San Francisco Giants,4,0,Chris Flexen,Logan Webb,623167.0,657277.0,T-Mobile Park,N,1,2021
634643,2021-04-03,2021-04-03T18:20:00+00:00,R,Final,F,True,False,112,Chicago Cubs,134,Pittsburgh Pirates,5,1,Jake Arrieta,Tyler Anderson,453562.0,542881.0,Wrigley Field,N,1,2021
634644,2021-04-03,2021-04-03T17:05:00+00:00,R,Final,F,True,False,147,New York Yankees,141,Toronto Blue Jays,5,3,Corey Kluber,Ross Stripling,446372.0,548389.0,Yankee Stadium,N,1,2021
634646,2021-04-03,2021-04-04T01:07:00+00:00,R,Final,F,True,False,108,Los Angeles Angels,145,Chicago White Sox,5,3,Alex Cobb,Lance Lynn,502171.0,458681.0,Angel Stadium,N,1,2021
634654,2021-04-03,2021-04-03T20:10:00+00:00,R,Final,F,True,False,113,Cincinnati Reds,138,St. Louis Cardinals,9,6,Tyler Mahle,Adam Wainwright,641816.0,425794.0,Great American Ball Park,N,1,2021
634557,2021-04-04,2021-04-04T19:10:00+00:00,R,Final,F,True,False,115,Colorado Rockies,119,Los Angeles Dodgers,2,4,Austin Gomber,Julio Urías,596295.0,628711.0,Coors Field,N,1,2021
634560,2021-04-04,2021-04-04T17:10:00+00:00,R,Final,F,True,False,113,Cincinnati Reds,138,St. Louis Cardinals,12,1,Jeff Hoffman,Carlos Martinez,656546.0,593372.0,Great American Ball Park,N,1,2021
634572,2021-04-04,2021-04-04T20:10:00+00:00,R,Final,F,True,False,135,San Diego Padres,109,Arizona Diamondbacks,1,3,Chris Paddack,Taylor Widener,663978.0,642203.0,Petco Park,N,1,2021
634593,2021-04-04,2021-04-04T18:10:00+00:00,R,Final,F,True,False,118,Kansas City Royals,140,Texas Rangers,3,7,Brady Singer,Jordan Lyles,663903.0,543475.0,Kauffman Stadium,N,1,2021
634597,2021-04-04,2021-04-04T18:10:00+00:00,R,Final,F,True,False,158,Milwaukee Brewers,142,Minnesota Twins,2,8,Adrian Houser,Michael Pineda,605288.0,501381.0,American Family Field,N,1,2021
634607,2021-04-04,2021-04-04T17:05:00+00:00,R,Final,F,True,False,147,New York Yankees,141,Toronto Blue Jays,1,3,Domingo Germán,T.J. Zeuch,593334.0,643615.0,Yankee Stadium,N,1,2021
634610,2021-04-04,2021-04-04T17:10:00+00:00,R,Final,F,True,False,111,Boston Red Sox,110,Baltimore Orioles,3,11,Garrett Richards,Bruce Zimmermann,572070.0,669145.0,Fenway Park,N,1,2021
634611,2021-04-04,2021-04-04T17:10:00+00:00,R,Final,F,True,False,116,Detroit Tigers,114,Cleveland Indians,3,9,Tarik Skubal,Aaron Civale,669373.0,650644.0,Comerica Park,N,1,2021
634613,2021-04-04,2021-04-04T18:20:00+00:00,R,Final,F,True,False,112,Chicago Cubs,134,Pittsburgh Pirates,4,3,Zach Davies,Mitch Keller,605200.0,656605.0,Wrigley Field,N,1,2021
634617,2021-04-04,2021-04-04T17:05:00+00:00,R,Final,F,True,False,143,Philadelphia Phillies,144,Atlanta Braves,2,1,Zach Eflin,Ian Anderson,621107.0,666120.0,Citizens Bank Park,N,1,2021
634637,2021-04-04,2021-04-05T00:37:00+00:00,R,Final,F,True,False,108,Los Angeles Angels,145,Chicago White Sox,7,4,Shohei Ohtani,Dylan Cease,660271.0,656302.0,Angel Stadium,N,1,2021
634651,2021-04-04,2021-04-04T20:07:00+00:00,R,Final,F,True,False,133,Oakland Athletics,117,Houston Astros,2,9,Sean Manaea,José Urquidy,640455.0,664353.0,Oakland Coliseum,N,1,2021
634551,2021-04-05,2021-04-06T02:10:00+00:00,R,Final,F,True,False,136,Seattle Mariners,145,Chicago White Sox,0,6,Justus Sheffield,Carlos Rodón,656954.0,607074.0,T-Mobile Park,N,1,2021
634552,2021-04-05,2021-04-06T01:38:00+00:00,R,Final,F,True,False,108,Los Angeles Angels,117,Houston Astros,7,6,Jose Quintana,Luis Garcia,500779.0,677651.0,Angel Stadium,N,1,2021
634558,2021-04-05,2021-04-05T22:40:00+00:00,R,Final,F,True,False,113,Cincinnati Reds,134,Pittsburgh Pirates,5,3,José De León,JT Brubaker,592254.0,664141.0,Great American Ball Park,N,1,2021
634562,2021-04-05,2021-04-05T22:40:00+00:00,R,Final,F,True,False,146,Miami Marlins,138,St. Louis Cardinals,1,4,Trevor Rogers,Daniel Ponce de Leon,669432.0,594965.0,loanDepot park,N,1,2021
634566,2021-04-05,2021-04-05T23:40:00+00:00,R,Final,F,True,False,112,Chicago Cubs,158,Milwaukee Brewers,5,3,Trevor Williams,Brett Anderson,592866.0,474463.0,Wrigley Field,N,1,2021
