TEAM_ID,TEAM_ABBREV,TEAM_NAME,SEASON,ELO,SEASON_WIN_PCT,SEASON_GOAL_DIFF_PER_GAME,SEASON_AVG_GOALS_FOR,SEASON_AVG_GOALS_AGAINST,ROLLING_WIN_PCT_5,ROLLING_GOAL_DIFF_5,ROLLING_GOALS_FOR_5,ROLLING_GOALS_AGAINST_5,ROLLING_WIN_PCT_10,ROLLING_GOAL_DIFF_10,ROLLING_GOALS_FOR_10,ROLLING_GOALS_AGAINST_10,DAYS_REST,LAST_GAME_DATE,GAMES_PLAYED,WINS,LOSSES
12,CAR,Carolina Hurricanes,20252026,1751.2,0.6770833333333334,0.7916666666666666,3.5625,2.7708333333333335,0.8,2.0,4.0,2.0,0.8,1.4,3.5,2.1,0.0,2026-06-02,96,65,31
54,VGK,Vegas Golden Knights,20252026,1672.7,0.5252525252525253,0.36363636363636365,3.313131313131313,2.9494949494949494,1.0,1.6,3.8,2.2,0.8,1.4,3.7,2.3,0.0,2026-06-02,99,52,47
8,MTL,Montréal Canadiens,20252026,1622.2,0.5643564356435643,0.24752475247524752,3.3366336633663365,3.089108910891089,0.2,-1.4,2.2,3.6,0.4,-0.5,3.1,3.6,4.0,2026-05-29,101,57,44
7,BUF,Buffalo Sabres,20252026,1620.7,0.6,0.5368421052631579,3.4842105263157896,2.9473684210526314,0.4,-0.4,3.6,4.0,0.5,0.3,3.4,3.1,7.0,2026-05-18,95,57,38
21,COL,Colorado Avalanche,20252026,1601.6,0.6631578947368421,1.1157894736842104,3.642105263157895,2.526315789473684,0.2,-1.2,2.2,3.4,0.5,0.3,3.6,3.3,7.0,2026-05-26,95,63,32
15,WSH,Washington Capitals,20252026,1588.8,0.524390243902439,0.23170731707317074,3.207317073170732,2.975609756097561,0.8,0.8,3.2,2.4,0.8,1.0,4.3,3.3,7.0,2026-04-14,82,43,39
19,STL,St. Louis Blues,20252026,1572.7,0.45121951219512196,-0.32926829268292684,2.817073170731707,3.1463414634146343,0.8,1.6,5.0,3.4,0.6,0.9,4.0,3.1,7.0,2026-04-16,82,37,45
14,TBL,Tampa Bay Lightning,20252026,1567.2,0.5955056179775281,0.651685393258427,3.4269662921348316,2.7752808988764044,0.4,-0.2,1.8,2.0,0.5,-0.1,2.3,2.4,7.0,2026-05-03,89,53,36
4,PHI,Philadelphia Flyers,20252026,1559.8,0.5108695652173914,0.043478260869565216,2.9456521739130435,2.902173913043478,0.2,-1.4,1.2,2.6,0.4,-0.3,2.1,2.4,7.0,2026-05-09,92,47,45
30,MIN,Minnesota Wild,20252026,1556.3,0.5483870967741935,0.3655913978494624,3.3655913978494625,3.0,0.2,-1.2,3.6,4.8,0.4,-0.3,3.5,3.8,7.0,2026-05-13,93,51,42
